id|name|description|ingredients|category|type
1|Chicken Salad|A healthy salad with chicken breast, vegetables, and a light dressing.||Salad|
2|Beef Steak|Juicy beef tenderloin grilled to perfection.||Main Course|
3|Salmon with Rice|Grilled salmon served with a side of rice and steamed vegetables.||Main Course|
4|Vegetable Stir-fry|A mix of stir-fried vegetables like bell peppers, carrots, and broccoli.||Vegetarian|
5|Quinoa Salad|A nutritious salad with quinoa, vegetables, and a lemon vinaigrette.||Salad|
6|Lentil Soup|A hearty soup made with lentils, vegetables, and a savory broth.||Soup|
7|Eggplant Parmesan|Breaded and baked eggplant slices layered with marinara sauce and cheese.||Vegetarian|
8|bramboraky|nastrouhame brambory, vymackame vodu, posypeme moukou, pridame sul a zloutek a smazime na oleji.||Main Course|
9|Spaghetti Bolognese|dice onion, garlic, carrot and green celery, add it to a heated pan and let it saute for a bit, then add a carrot and a ...||Salad|
10|sdgfsd||||
11|||||
12|dfgd|dg|||
13|||||
